genome_id,genome_id,genus,source,species,quality,completeness,contamination,N50,contigs,genome_len,gc
GCF_000331005.1,GCF_000331005.1,Streptomyces,NCBI,turgidiscabies,LQ,99.16,1.65,27448,692,10825282,0.6987120520278364
GCF_000331185.2,GCF_000331185.2,Streptomyces,NCBI,rimosus,HQ,100.0,2.57,9351267,2,9643891,0.7189011157425981
GCF_000332625.1,GCF_000332625.1,Streptomyces,NCBI,curacoi,LQ,100.0,2.15,56781,379,9687428,0.7096510166530322
GCF_000340335.1,GCF_000340335.1,Streptomyces,NCBI,bottropensis,MQ,100.0,1.09,866445,43,8914727,0.7123780897769023
GCF_000340845.1,GCF_000340845.1,Streptomyces,NCBI,olivaceoviridis,HQ,99.89,1.54,9840102,3,10077952,0.719822043208779
GCF_000342125.1,GCF_000342125.1,Streptomyces,NCBI,mobaraensis,LQ,98.84,1.75,47194,266,7477811,0.7326973094131425
GCF_000342345.1,GCF_000342345.1,Streptomyces,NCBI,pseudogriseolus,LQ,97.0,0.0,79071,171,7300479,0.7262466585803684
GCF_000349325.1,GCF_000349325.1,Streptomyces,NCBI,davaonensis,HQ,99.39,0.79,9466619,2,9555950,0.705801023873246
GCF_000359525.1,GCF_000359525.1,Streptomyces,NCBI,albidoflavus,HQ,99.89,1.0,6841649,1,6841649,0.7332127093921363
GCF_000364805.1,GCF_000364805.1,Streptomyces,NCBI,papulosus,HQ,99.84,0.09,7526197,2,7630245,0.7103356445304181
GCF_000367365.1,GCF_000367365.1,Streptomyces,NCBI,prunicolor,LQ,99.57,1.43,124739,202,11760649,0.6973290412788549
GCF_000372745.1,GCF_000372745.1,Embleya,NCBI,scabrispora,LQ,100.0,2.81,180969,191,11392659,0.7094762176966083
GCF_000373225.1,GCF_000373225.1,Streptomyces,NCBI,albidoflavus,MQ,99.89,0.57,406114,34,7004837,0.7352453136507545
GCF_000373305.1,GCF_000373305.1,Streptomyces,NCBI,bacillaris,MQ,99.84,0.75,464790,36,7805445,0.7247974531958239
GCF_000373405.1,GCF_000373405.1,Streptomyces,NCBI,cyaneofuscatus,MQ,99.84,1.02,992189,20,8075580,0.7159638480731361
GCF_000373525.1,GCF_000373525.1,Streptomyces,NCBI,sp001905735,MQ,99.58,1.23,480810,35,7564905,0.7189926713676676
GCF_000373565.1,GCF_000373565.1,Streptomyces,NCBI,sp000373565,MQ,99.89,0.21,376150,56,9161949,0.7114846540836558
GCF_000373585.1,GCF_000373585.1,Streptomyces,NCBI,sp000373585,LQ,99.59,2.83,169228,120,8596663,0.7186253720045512
GCF_000373625.1,GCF_000373625.1,Streptomyces,NCBI,sp000373625,MQ,100.0,0.48,769204,14,6850887,0.7183310143732706
GCF_000373645.1,GCF_000373645.1,Streptomyces,NCBI,sp000373645,MQ,99.93,1.13,262834,89,7948485,0.7173224625253817
GCF_000373665.1,GCF_000373665.1,Streptomyces,NCBI,glauciniger,MQ,100.0,1.48,220854,67,8646873,0.7229406598317494
GCF_000373685.1,GCF_000373685.1,Streptomyces,NCBI,sp001654495,MQ,100.0,0.0,329999,53,8808859,0.7296444514599987
GCF_000375625.1,GCF_000375625.1,Streptomyces,NCBI,libani,MQ,99.56,1.07,299381,63,7846427,0.7112288499043229
GCF_000375725.1,GCF_000375725.1,Streptomyces,NCBI,sp001905735,MQ,99.58,1.23,490467,34,7564593,0.7189893036273121
GCF_000376565.1,GCF_000376565.1,Streptomyces,NCBI,hokutonensis,LQ,99.14,1.07,135550,178,11828360,0.7025907226361051
GCF_000380165.1,GCF_000380165.1,Streptomyces_A,NCBI,vitaminophilus,LQ,100.0,0.88,136252,112,6429887,0.7203734247843009
GCF_000381025.1,GCF_000381025.1,Streptomyces,NCBI,sulphureus,MQ,99.82,0.31,482388,26,7104952,0.7169063504372708
GCF_000382745.1,GCF_000382745.1,Streptomyces,NCBI,sp000177195,MQ,99.93,0.0,700513,31,7452860,0.717794164589914
GCF_000383595.1,GCF_000383595.1,Streptomyces,NCBI,bottropensis,MQ,100.0,0.94,8955726,1,8955726,0.7119164233689936
GCF_000383615.1,GCF_000383615.1,Streptomyces,NCBI,canus_C,LQ,99.89,0.14,235831,116,10479972,0.7036932784936163
GCF_000383635.1,GCF_000383635.1,Streptomyces,NCBI,sp001298545,MQ,100.0,0.14,224898,77,9550898,0.7140698406994436
GCF_000383655.1,GCF_000383655.1,Streptomyces,NCBI,griseorubiginosus,MQ,100.0,0.43,428484,45,9330122,0.7098353159686337
GCF_000383935.1,GCF_000383935.1,Streptomyces,NCBI,sennicomposti,MQ,100.0,0.43,238484,70,8252435,0.7292568099906889
GCF_000384175.1,GCF_000384175.1,Streptomyces,NCBI,purpureus,MQ,99.93,0.29,7458334,1,7458334,0.7152338985005844
GCF_000385945.1,GCF_000385945.1,Streptomyces,NCBI,microflavus,HQ,99.84,0.8,7905758,1,7905758,0.7147936984663583
GCF_000403665.1,GCF_000403665.1,Streptomyces,NCBI,anthocyanicus,HQ,99.57,0.86,8496762,1,8496762,0.7216327504199523
GCF_000403765.2,GCF_000403765.2,Streptomyces,NCBI,albulus_C,LQ,97.69,1.79,75627,242,9304371,0.7224979533773063
GCF_000404005.1,GCF_000404005.1,Streptomyces,NCBI,olivaceus,MQ,99.59,0.43,312303,84,8215649,0.7248396322676395
GCF_000411315.1,GCF_000411315.1,Streptomyces,NCBI,sp000411315,LQ,100.0,16.81,2202507,9,9361238,0.7072192783923195
GCF_000411495.1,GCF_000411495.1,Streptomyces,NCBI,albus,MQ,99.64,1.33,2855569,12,7887973,0.727085651007501
GCF_000412265.2,GCF_000412265.2,Streptomyces,NCBI,goshikiensis,HQ,99.58,1.57,7868178,4,8716193,0.7213459148345096
GCF_000414115.1,GCF_000414115.1,Streptomyces,NCBI,aurantiacus_A,LQ,94.66,0.61,32382,568,8762126,0.719699762363609
GCF_000415505.1,GCF_000415505.1,Streptomyces,NCBI,afghaniensis,LQ,99.69798124304565,3.624225083452551,23632,1726,9848774,0.7097204777536683
GCF_000418455.1,GCF_000418455.1,Streptomyces,NCBI,rapamycinicus,HQ,98.95,3.95,12700734,1,12700734,0.7109423853683298
GCF_000424945.1,GCF_000424945.1,Streptomyces,NCBI,sp002300165,MQ,100.0,2.68,283296,99,9726042,0.7108104284397336
GCF_000429085.1,GCF_000429085.1,Streptomyces,NCBI,flavidovirens,MQ,99.93,0.82,326335,49,7070406,0.7038006845993159
GCF_000444875.1,GCF_000444875.1,Streptomyces,NCBI,collinus_A,HQ,99.89,1.79,8272925,3,8377286,0.7255082912313824
GCF_000478605.2,GCF_000478605.2,Streptomyces,NCBI,thermolilacinus,MQ,99.84,0.67,6424956,6,6448617,0.7338368493838252
GCF_000495635.2,GCF_000495635.2,Streptomyces,NCBI,albidoflavus,HQ,99.89270386266094,0.1430615164520743,7025021,2,7223458,0.7299296265029851
GCF_000495755.1,GCF_000495755.1,Streptomyces,NCBI,albidoflavus,HQ,99.89,0.14,7007517,3,7106149,0.7306991206622552
GCF_000497425.1,GCF_000497425.1,Streptomyces,NCBI,niveus,HQ,99.27,0.89,8514960,5,8726876,0.707032449597367
GCF_000497445.1,GCF_000497445.1,Streptomyces,NCBI,roseochromogenus,HQ,97.6,0.72,9663240,2,9782257,0.7051183264858292
GCF_000498935.1,GCF_000498935.1,Streptomyces,NCBI,parvus,LQ,94.28,0.53,6247,1508,6687533,0.7094777700536207
GCF_000504065.1,GCF_000504065.1,Streptomyces,NCBI,albulus_C,LQ,99.91,2.15,67182,244,9427044,0.7229795469290268
GCF_000518045.1,GCF_000518045.1,Streptomyces,NCBI,sp001426585,LQ,99.4,0.74,46890,367,8847593,0.7182451451197117
GCF_000590515.1,GCF_000590515.1,Streptomyces,NCBI,asiaticus,LQ,100.0,3.95,95768,290,11084188,0.7109097211270686
GCF_000611795.1,GCF_000611795.1,Streptomyces,NCBI,sp001654495,MQ,94.22,0.21,1211426,20,8820073,0.7285595294936408
GCF_000612545.1,GCF_000612545.1,Streptomyces,NCBI,sp000612545,MQ,99.93,0.52,695841,27,7479793,0.7214665361967739
GCF_000647875.1,GCF_000647875.1,Streptomyces,NCBI,bacillaris,MQ,99.67,0.8,530441,28,7654598,0.7249882378518666
GCF_000695235.1,GCF_000695235.1,Streptomyces,NCBI,albulus_C,HQ,99.56,2.59,9360281,2,9372401,0.7231891806592569
GCF_000696185.1,GCF_000696185.1,Kitasatospora,NCBI,cheerisanensis,MQ,98.95,1.93,8021569,5,8174272,0.7354887800259334
GCF_000696595.1,GCF_000696595.1,Streptomyces,NCBI,leeuwenhoekii,LQ,99.46,1.29,27217,602,7854862,0.7264261164877616
GCF_000698495.1,GCF_000698495.1,Streptomyces,NCBI,halstedii,MQ,99.84,0.1,7003153,3,7444861,0.7190525115243924
GCF_000698945.1,GCF_000698945.1,Streptomyces,NCBI,albidoflavus,LQ,89.7,0.57,109945,176,7056006,0.7349151368695821
GCF_000700005.2,GCF_000700005.2,Streptomyces,NCBI,xinghaiensis,LQ,100.0,1.05,358441,152,7741732,0.7274064770002372
GCF_000702365.1,GCF_000702365.1,Streptomyces,NCBI,parvus,MQ,99.84,0.0,345006,84,8340747,0.7167024397099607
GCF_000707925.2,GCF_000707925.2,Streptomyces,NCBI,rimosus,HQ,100.0,2.21,8919161,1,8919161,0.7197197565444985
GCF_000707945.1,GCF_000707945.1,Streptomyces,NCBI,rimosus,MQ,100.0,1.56,178695,88,8197540,0.7207741231425552
GCF_000707965.1,GCF_000707965.1,Streptomyces,NCBI,rimosus,LQ,99.77,1.56,419227,375,8386169,0.7211407493009852
GCF_000709915.1,GCF_000709915.1,Streptomyces,NCBI,althioticus,MQ,99.36,0.0,7563100,2,7668630,0.7241796856857039
GCF_000710405.2,GCF_000710405.2,Kitasatospora,NCBI,purpeofusca,MQ,99.47,2.02,714511,44,10382001,0.7317657160834098
GCF_000710465.2,GCF_000710465.2,Kitasatospora,NCBI,sp000710465,LQ,98.6,0.98,24761,846,9851701,0.7301927478624403
GCF_000715745.1,GCF_000715745.1,Streptomyces,NCBI,californicus,LQ,91.09,0.12,130234,130,8023053,0.7250082026771771
GCF_000715845.1,GCF_000715845.1,Streptomyces,NCBI,monomycini,LQ,98.93,1.76,86123,223,9111622,0.7198400188145101
GCF_000716025.1,GCF_000716025.1,Streptomyces,NCBI,fimicarius,MQ,99.49,0.38,225547,77,8227069,0.7184357057336769
GCF_000716215.1,GCF_000716215.1,Streptomyces,NCBI,resistomycificus,LQ,94.07,0.86,141587,141,9462133,0.7087341316401807
GCF_000716335.1,GCF_000716335.1,Streptomyces,NCBI,sp000716335,LQ,99.84,0.68,230062,114,7925788,0.7258081076319128
GCF_000716435.1,GCF_000716435.1,Streptomyces,NCBI,xylophagus,LQ,99.57,1.18,356030,211,11386825,0.6980020330513554
GCF_000716445.1,GCF_000716445.1,Streptomyces,NCBI,wedmorensis,LQ,99.84,1.27,125151,259,9380839,0.7206641111738513
GCF_000716455.1,GCF_000716455.1,Streptomyces,NCBI,rimosus,LQ,100.0,2.33,167875,138,8864755,0.7205013562134543
GCF_000716515.1,GCF_000716515.1,Streptomyces,NCBI,rimosus,LQ,100.0,2.59,199375,140,9386539,0.7195749146730227
GCF_000716525.1,GCF_000716525.1,Streptomyces,NCBI,albus,LQ,99.64,1.25,166038,334,7867602,0.7267324910436497
GCF_000716535.1,GCF_000716535.1,Streptomyces,NCBI,flaveolus_A,LQ,99.89,0.64,194920,232,10347389,0.7183550362318455
GCF_000716545.1,GCF_000716545.1,Kitasatospora,NCBI,phosalacinea,LQ,99.47,2.02,89226,227,7620895,0.7407111631901503
GCF_000716605.1,GCF_000716605.1,Streptomyces,NCBI,sp000716605,LQ,99.14,1.07,208591,242,10943254,0.702321265685691
GCF_000716615.1,GCF_000716615.1,Streptomyces,NCBI,sp000725625,LQ,100.0,1.0,110620,408,8220191,0.723162758626898
GCF_000716625.1,GCF_000716625.1,Streptomyces,NCBI,bikiniensis,LQ,99.49,0.86,142934,155,7391008,0.7307199505128393
GCF_000716675.1,GCF_000716675.1,Streptomyces,NCBI,alboflavus,LQ,99.89,0.14,134286,171,9717375,0.7217590141370483
GCF_000716685.1,GCF_000716685.1,Streptomyces,NCBI,virginiae_A,LQ,99.93,0.91,171873,181,9185056,0.7170645448432759
GCF_000716745.1,GCF_000716745.1,Streptomyces,NCBI,rimosus,LQ,91.58,1.2,178926,134,8415612,0.7197545466687391
GCF_000716805.1,GCF_000716805.1,Streptomyces,NCBI,flaveus,LQ,99.89,0.93,150519,323,10925884,0.6957174357699569
GCF_000716845.1,GCF_000716845.1,Streptomyces,NCBI,rimosus,LQ,99.82,2.65,178168,144,9329832,0.7196417899057561
GCF_000716875.1,GCF_000716875.1,Kitasatospora,NCBI,novaecaesareae,LQ,99.47,0.79,73927,250,7427993,0.7298077690703263
GCF_000716885.1,GCF_000716885.1,Kitasatospora,NCBI,aureofaciens,LQ,99.47,2.89,127928,505,9285283,0.7276299494587295
GCF_000716935.1,GCF_000716935.1,Streptomyces,NCBI,microflavus,LQ,99.84,0.99,264758,263,8571085,0.7125053595898302
GCF_000716945.1,GCF_000716945.1,Streptomyces,NCBI,parvus,MQ,99.84,0.25,270363,94,7978071,0.7171180853115997
GCF_000716965.1,GCF_000716965.1,Kitasatospora,NCBI,setae,LQ,100.0,3.07,97127,298,8560950,0.742943832168159
GCF_000717015.1,GCF_000717015.1,Streptomyces,NCBI,californicus,MQ,99.93,0.47,247510,67,7781346,0.7269373447729994
GCF_000717025.1,GCF_000717025.1,Streptomyces,NCBI,atroolivaceus,LQ,99.93,0.03,332139,106,8216207,0.7072708854584603
GCF_000717055.1,GCF_000717055.1,Streptomyces,NCBI,iakyrus,LQ,99.89,2.5,287302,181,9127873,0.7121104774354332
GCF_000717105.1,GCF_000717105.1,Streptomyces,NCBI,anulatus_C,LQ,99.84,1.41,201367,178,8402693,0.7125963069220784
GCF_000717185.1,GCF_000717185.1,Kitasatospora,NCBI,phosalacinea_A,LQ,100.0,2.54,69365,340,8616948,0.7413196644566035
GCF_000717215.1,GCF_000717215.1,Streptomyces,NCBI,californicus,MQ,99.81,0.61,354546,72,8062003,0.7241821914479566
GCF_000717245.1,GCF_000717245.1,Streptomyces,NCBI,papulosus,MQ,99.84,0.09,625243,99,7568795,0.7096190344698199
GCF_000717275.1,GCF_000717275.1,Williamsia,NCBI,arboriphila,MQ,99.60748792270532,0.5613197189284146,756951,45,5748041,0.6452227811179496
GCF_000717285.1,GCF_000717285.1,Streptomyces,NCBI,rimosus,LQ,100.0,2.57,199295,129,9589920,0.7194081911006557
GCF_000717345.1,GCF_000717345.1,Streptomyces,NCBI,lydicus,LQ,99.91,2.25,181980,131,8181439,0.7205308259341664
GCF_000717375.1,GCF_000717375.1,Streptomyces,NCBI,albidoflavus,LQ,99.89,0.57,186085,135,7202597,0.733278566050551
GCF_000717595.1,GCF_000717595.1,Streptomyces,NCBI,flavochromogenes,LQ,99.75,1.59,235906,170,8884918,0.7181275055098989
GCF_000717635.1,GCF_000717635.1,Streptomyces,NCBI,sp000725625,LQ,100.0,0.57,89962,201,8119530,0.7234442141355473
GCF_000717645.1,GCF_000717645.1,Streptomyces,NCBI,californicus,LQ,99.93,0.82,251927,105,7785545,0.7268910525852718
GCF_000717655.1,GCF_000717655.1,Streptomyces,NCBI,katrae_B,LQ,99.14,2.06,193099,151,8582897,0.7175528262776543
GCF_000717665.1,GCF_000717665.1,Streptomyces,NCBI,californicus,MQ,99.93,0.54,393199,67,7896344,0.7265488940198147
GCF_000717715.1,GCF_000717715.1,Kitasatospora,NCBI,sp000717715,LQ,99.47,1.75,140273,186,8863434,0.7380875177724571
GCF_000717725.1,GCF_000717725.1,Kitasatospora,NCBI,novaecaesareae,LQ,99.47,0.53,107132,139,6312990,0.7292522243817906
GCF_000717745.1,GCF_000717745.1,Streptomyces,NCBI,violens,MQ,99.2,2.65,355841,64,7941520,0.7141159375031481
GCF_000717795.1,GCF_000717795.1,Streptomyces,NCBI,griseus,LQ,99.84,0.0,457602,166,8329687,0.7223333841955886
GCF_000717805.1,GCF_000717805.1,Streptomyces,NCBI,rimosus,LQ,100.0,2.57,111583,205,9519524,0.7195184339048886
GCF_000717815.1,GCF_000717815.1,Streptomyces,NCBI,rimosus,LQ,100.0,3.19,105458,190,9593305,0.7192390943475684
GCF_000717845.1,GCF_000717845.1,Streptomyces,NCBI,anthocyanicus,LQ,100.0,0.0,148200,170,8489968,0.7225332298072266
GCF_000717875.1,GCF_000717875.1,Streptomyces,NCBI,sp000717875,LQ,100.0,0.29,198010,120,8232740,0.7094088966735255
GCF_000717895.1,GCF_000717895.1,Streptomyces,NCBI,flaveolus_A,LQ,99.89,0.64,185581,221,9962335,0.7193380869043251
GCF_000717915.1,GCF_000717915.1,Streptomyces,NCBI,sp000717915,MQ,99.49,1.11,256259,73,7096454,0.7233385857218267
GCF_000717925.1,GCF_000717925.1,Streptomyces,NCBI,sp002080455,LQ,99.49,1.18,176453,193,8768483,0.7207058507155685
GCF_000717945.1,GCF_000717945.1,Streptomyces,NCBI,alboniger,LQ,99.89,0.57,122830,198,8247846,0.7112992895357163
GCF_000717965.1,GCF_000717965.1,Streptomyces,NCBI,californicus,LQ,99.93,0.47,178044,126,7887122,0.7264698073644607
GCF_000717995.1,GCF_000717995.1,Streptomyces,NCBI,violaceorubidus,LQ,100.0,0.0,176436,282,7651467,0.7222941692096431
GCF_000718015.1,GCF_000718015.1,Streptomyces,NCBI,catenulae,MQ,100.0,2.85,174156,91,7046907,0.7297201453063025
GCF_000718025.1,GCF_000718025.1,Kitasatospora,NCBI,purpeofusca,LQ,99.47,2.02,241189,138,9343474,0.7364106755153383
GCF_000718095.1,GCF_000718095.1,Streptomyces,NCBI,scopuliridis,LQ,99.75,0.0,275119,117,8243500,0.7038786923030266
GCF_000718135.1,GCF_000718135.1,Streptomyces,NCBI,cyaneofuscatus,LQ,99.84,0.25,353815,127,7899007,0.7155350033238355
GCF_000718155.1,GCF_000718155.1,Streptomyces,NCBI,lavendulae_C,LQ,98.87,2.01,164157,357,8466185,0.7271292255702553
GCF_000718165.1,GCF_000718165.1,Streptomyces,NCBI,fulvoviolaceus,LQ,99.89,1.7,163841,263,11584616,0.7024932893761865
GCF_000718175.1,GCF_000718175.1,Streptomyces,NCBI,exfoliatus,LQ,99.84,6.94,239487,1601,8618209,0.7172183918955783
GCF_000718205.1,GCF_000718205.1,Streptomyces,NCBI,californicus,MQ,99.93,0.47,268909,67,8030720,0.7264745875836787
GCF_000718235.1,GCF_000718235.1,Streptomyces,NCBI,californicus,LQ,99.93,0.47,246180,142,7836951,0.7268475967247977
GCF_000718245.1,GCF_000718245.1,Streptomyces,NCBI,californicus,MQ,99.93,0.47,408175,64,7783343,0.7269425232833758
GCF_000718295.1,GCF_000718295.1,Streptomyces,NCBI,rimosus,LQ,100.0,2.39,140407,318,9439884,0.7192705969692
GCF_000718305.1,GCF_000718305.1,Streptomyces,NCBI,niger,LQ,100.0,2.95,381655,108,8485418,0.7171065703539885
GCF_000718315.1,GCF_000718315.1,Streptomyces,NCBI,griseofuscus,LQ,99.89,0.25,135213,244,8945636,0.7170209027060792
GCF_000718375.1,GCF_000718375.1,Streptomyces,NCBI,caelestis_A,LQ,99.89,0.14,203395,211,8604831,0.7237305415992481
GCF_000718455.1,GCF_000718455.1,Streptomyces,NCBI,globisporus_A,MQ,99.72,0.18,235137,84,7454528,0.7165156533049444
GCF_000718525.1,GCF_000718525.1,Streptomyces,NCBI,filamentosus,LQ,99.93,1.1,69828,239,7429044,0.7389174165612695
GCF_000718595.1,GCF_000718595.1,Streptomyces,NCBI,bikiniensis,LQ,99.49,0.86,232053,126,7389938,0.7307617465802826
GCF_000718615.1,GCF_000718615.1,Streptomyces,NCBI,californicus,LQ,99.93,0.47,213680,107,7996821,0.7260761495099115
GCF_000718625.1,GCF_000718625.1,Streptomyces,NCBI,eurythermus,LQ,100.0,1.02,193158,217,8716851,0.7228910990907153
GCF_000718635.1,GCF_000718635.1,Streptomyces,NCBI,varsoviensis,LQ,99.38,3.74,268175,118,8588807,0.7239832027893979
GCF_000718675.1,GCF_000718675.1,Streptomyces,NCBI,rimosus,LQ,98.1,2.36,269003,138,9520128,0.7185519984605249
GCF_000718695.1,GCF_000718695.1,Streptomyces,NCBI,californicus,MQ,99.84,0.93,276573,83,8179821,0.7251672133167706
GCF_000718705.1,GCF_000718705.1,Streptomyces,NCBI,virginiae,LQ,99.58,1.21,196648,119,8354185,0.7241803958135952
