,genus_init,genus_gtdb,quality,genome_id
GCF_000716625.1,Streptomyces,Streptomyces_G,LQ,GCF_000716625.1
GCF_000716675.1,Streptomyces,Streptomyces_G,LQ,GCF_000716675.1
GCF_000716685.1,Streptomyces,Streptomyces_G,LQ,GCF_000716685.1
GCF_000716745.1,Streptomyces,Streptomyces_G,LQ,GCF_000716745.1
GCF_000716805.1,Streptomyces,Streptomyces_G,LQ,GCF_000716805.1
GCF_000716845.1,Streptomyces,Streptomyces_G,LQ,GCF_000716845.1
GCF_000716875.1,Streptomyces,non-Streptomyces_G,LQ,GCF_000716875.1
GCF_000716885.1,non-Streptomyces,non-Streptomyces_G,LQ,GCF_000716885.1
GCF_000716935.1,Streptomyces,Streptomyces_G,LQ,GCF_000716935.1
GCF_000716945.1,Streptomyces,Streptomyces_G,MQ,GCF_000716945.1
GCF_000716965.1,non-Streptomyces,non-Streptomyces_G,LQ,GCF_000716965.1
GCF_000717015.1,Streptomyces,Streptomyces_G,MQ,GCF_000717015.1
GCF_000717025.1,Streptomyces,Streptomyces_G,LQ,GCF_000717025.1
GCF_000717055.1,Streptomyces,Streptomyces_G,LQ,GCF_000717055.1
GCF_000717105.1,Streptomyces,Streptomyces_G,LQ,GCF_000717105.1
GCF_000717185.1,non-Streptomyces,non-Streptomyces_G,LQ,GCF_000717185.1
GCF_000717215.1,Streptomyces,Streptomyces_G,MQ,GCF_000717215.1
GCF_000717245.1,non-Streptomyces,Streptomyces_G,MQ,GCF_000717245.1
GCF_000717275.1,non-Streptomyces,non-Streptomyces_G,MQ,GCF_000717275.1
GCF_000717285.1,Streptomyces,Streptomyces_G,LQ,GCF_000717285.1
GCF_000717345.1,Streptomyces,Streptomyces_G,LQ,GCF_000717345.1
GCF_000717375.1,Streptomyces,Streptomyces_G,LQ,GCF_000717375.1
GCF_000717595.1,Streptomyces,Streptomyces_G,LQ,GCF_000717595.1
GCF_000717635.1,Streptomyces,Streptomyces_G,LQ,GCF_000717635.1
GCF_000717645.1,Streptomyces,Streptomyces_G,LQ,GCF_000717645.1
GCF_000717655.1,Streptomyces,Streptomyces_G,LQ,GCF_000717655.1
GCF_000717665.1,Streptomyces,Streptomyces_G,MQ,GCF_000717665.1
GCF_000717715.1,Streptomyces,non-Streptomyces_G,LQ,GCF_000717715.1
GCF_000717725.1,Streptomyces,non-Streptomyces_G,LQ,GCF_000717725.1
GCF_000717745.1,Streptomyces,Streptomyces_G,MQ,GCF_000717745.1
GCF_000717795.1,Streptomyces,Streptomyces_G,LQ,GCF_000717795.1
GCF_000717805.1,Streptomyces,Streptomyces_G,LQ,GCF_000717805.1
GCF_000717815.1,Streptomyces,Streptomyces_G,LQ,GCF_000717815.1
GCF_000717845.1,Streptomyces,Streptomyces_G,LQ,GCF_000717845.1
GCF_000717875.1,Streptomyces,Streptomyces_G,LQ,GCF_000717875.1
GCF_000717895.1,Streptomyces,Streptomyces_G,LQ,GCF_000717895.1
GCF_000717915.1,Streptomyces,Streptomyces_G,MQ,GCF_000717915.1
GCF_000717925.1,Streptomyces,Streptomyces_G,LQ,GCF_000717925.1
GCF_000717945.1,Streptomyces,Streptomyces_G,LQ,GCF_000717945.1
GCF_000717965.1,Streptomyces,Streptomyces_G,LQ,GCF_000717965.1
GCF_000717995.1,Streptomyces,Streptomyces_G,LQ,GCF_000717995.1
GCF_000718015.1,Streptomyces,Streptomyces_G,MQ,GCF_000718015.1
GCF_000718025.1,non-Streptomyces,non-Streptomyces_G,LQ,GCF_000718025.1
GCF_000718095.1,Streptomyces,Streptomyces_G,LQ,GCF_000718095.1
GCF_000718135.1,Streptomyces,Streptomyces_G,LQ,GCF_000718135.1
GCF_000718155.1,Streptomyces,Streptomyces_G,LQ,GCF_000718155.1
GCF_000718165.1,Streptomyces,Streptomyces_G,LQ,GCF_000718165.1
GCF_000718175.1,Streptomyces,Streptomyces_G,LQ,GCF_000718175.1
GCF_000718205.1,Streptomyces,Streptomyces_G,MQ,GCF_000718205.1
GCF_000718235.1,Streptomyces,Streptomyces_G,LQ,GCF_000718235.1
GCF_000718245.1,Streptomyces,Streptomyces_G,MQ,GCF_000718245.1
GCF_000718295.1,Streptomyces,Streptomyces_G,LQ,GCF_000718295.1
GCF_000718305.1,Streptomyces,Streptomyces_G,LQ,GCF_000718305.1
GCF_000718315.1,Streptomyces,Streptomyces_G,LQ,GCF_000718315.1
GCF_000718375.1,Streptomyces,Streptomyces_G,LQ,GCF_000718375.1
GCF_000718455.1,Streptomyces,Streptomyces_G,MQ,GCF_000718455.1
GCF_000718525.1,Streptomyces,Streptomyces_G,LQ,GCF_000718525.1
GCF_000718595.1,Streptomyces,Streptomyces_G,LQ,GCF_000718595.1
GCF_000718615.1,Streptomyces,Streptomyces_G,LQ,GCF_000718615.1
GCF_000718625.1,Streptomyces,Streptomyces_G,LQ,GCF_000718625.1
GCF_000718635.1,Streptomyces,Streptomyces_G,LQ,GCF_000718635.1
GCF_000718675.1,Streptomyces,Streptomyces_G,LQ,GCF_000718675.1
GCF_000718695.1,Streptomyces,Streptomyces_G,MQ,GCF_000718695.1
GCF_000718705.1,Streptomyces,Streptomyces_G,LQ,GCF_000718705.1
GCF_000718715.1,Streptomyces,Streptomyces_G,LQ,GCF_000718715.1
GCF_000718755.1,Streptomyces,Streptomyces_G,LQ,GCF_000718755.1
GCF_000718775.1,Streptomyces,Streptomyces_G,LQ,GCF_000718775.1
GCF_000718785.1,Streptomyces,Streptomyces_G,MQ,GCF_000718785.1
GCF_000718815.1,Streptomyces,Streptomyces_G,LQ,GCF_000718815.1
GCF_000718835.1,Streptomyces,Streptomyces_G,LQ,GCF_000718835.1
GCF_000718855.1,Streptomyces,Streptomyces_G,LQ,GCF_000718855.1
GCF_000718865.1,Streptomyces,Streptomyces_G,LQ,GCF_000718865.1
GCF_000718895.1,Streptomyces,Streptomyces_G,LQ,GCF_000718895.1
GCF_000718915.1,Streptomyces,Streptomyces_G,LQ,GCF_000718915.1
GCF_000718935.1,Streptomyces,Streptomyces_G,LQ,GCF_000718935.1
GCF_000718945.1,Streptomyces,Streptomyces_G,LQ,GCF_000718945.1
GCF_000718955.1,Streptomyces,Streptomyces_G,LQ,GCF_000718955.1
GCF_000718985.1,Streptomyces,Streptomyces_G,LQ,GCF_000718985.1
GCF_000719015.1,Streptomyces,Streptomyces_G,LQ,GCF_000719015.1
GCF_000719035.1,Streptomyces,Streptomyces_G,LQ,GCF_000719035.1
GCF_000719095.1,non-Streptomyces,non-Streptomyces_G,LQ,GCF_000719095.1
GCF_000719135.1,Streptomyces,Streptomyces_G,MQ,GCF_000719135.1
GCF_000719175.1,non-Streptomyces,non-Streptomyces_G,LQ,GCF_000719175.1
GCF_000719185.1,Streptomyces,Streptomyces_G,LQ,GCF_000719185.1
GCF_000719195.1,Streptomyces,Streptomyces_G,MQ,GCF_000719195.1
GCF_000719255.1,Streptomyces,Streptomyces_G,LQ,GCF_000719255.1
GCF_000719265.1,Streptomyces,Streptomyces_G,MQ,GCF_000719265.1
GCF_000719285.1,Streptomyces,Streptomyces_G,LQ,GCF_000719285.1
GCF_000719335.1,Streptomyces,Streptomyces_G,LQ,GCF_000719335.1
GCF_000719345.1,Streptomyces,Streptomyces_G,LQ,GCF_000719345.1
GCF_000719355.1,Streptomyces,Streptomyces_G,MQ,GCF_000719355.1
GCF_000719365.1,Streptomyces,Streptomyces_G,LQ,GCF_000719365.1
GCF_000719425.1,Streptomyces,Streptomyces_G,LQ,GCF_000719425.1
GCF_000719435.1,Streptomyces,Streptomyces_G,LQ,GCF_000719435.1
GCF_000719475.1,Streptomyces,Streptomyces_G,LQ,GCF_000719475.1
GCF_000719495.1,Streptomyces,Streptomyces_G,LQ,GCF_000719495.1
GCF_000719505.1,Streptomyces,Streptomyces_G,LQ,GCF_000719505.1
GCF_000719555.1,Streptomyces,Streptomyces_G,LQ,GCF_000719555.1
GCF_000719575.1,Streptomyces,Streptomyces_G,LQ,GCF_000719575.1
GCF_000719585.1,Streptomyces,Streptomyces_G,MQ,GCF_000719585.1
GCF_000719605.1,Streptomyces,Streptomyces_G,LQ,GCF_000719605.1
GCF_000719625.1,Streptomyces,Streptomyces_G,LQ,GCF_000719625.1
GCF_000719655.1,Streptomyces,Streptomyces_G,LQ,GCF_000719655.1
GCF_000719665.1,Streptomyces,Streptomyces_G,LQ,GCF_000719665.1
GCF_000719705.1,Streptomyces,non-Streptomyces_G,LQ,GCF_000719705.1
GCF_000719735.1,Streptomyces,Streptomyces_G,LQ,GCF_000719735.1
GCF_000719745.1,Streptomyces,Streptomyces_G,LQ,GCF_000719745.1
GCF_000719775.1,Streptomyces,Streptomyces_G,LQ,GCF_000719775.1
GCF_000719785.1,Streptomyces,Streptomyces_G,LQ,GCF_000719785.1
GCF_000719815.1,Streptomyces,Streptomyces_G,LQ,GCF_000719815.1
GCF_000719855.1,Streptomyces,Streptomyces_G,LQ,GCF_000719855.1
GCF_000719865.1,Streptomyces,Streptomyces_G,LQ,GCF_000719865.1
GCF_000719895.1,Streptomyces,Streptomyces_G,MQ,GCF_000719895.1
GCF_000719915.1,Streptomyces,Streptomyces_G,MQ,GCF_000719915.1
GCF_000719925.1,Streptomyces,Streptomyces_G,LQ,GCF_000719925.1
GCF_000719955.1,Streptomyces,Streptomyces_G,LQ,GCF_000719955.1
GCF_000720055.1,Streptomyces,Streptomyces_G,LQ,GCF_000720055.1
GCF_000720065.1,Streptomyces,Streptomyces_G,LQ,GCF_000720065.1
GCF_000720115.1,Streptomyces,Streptomyces_G,LQ,GCF_000720115.1
GCF_000720135.1,Streptomyces,Streptomyces_G,LQ,GCF_000720135.1
GCF_000720145.1,Streptomyces,Streptomyces_G,LQ,GCF_000720145.1
GCF_000720175.1,Streptomyces,Streptomyces_G,LQ,GCF_000720175.1
GCF_000720185.1,Streptomyces,Streptomyces_G,LQ,GCF_000720185.1
GCF_000720215.1,Streptomyces,Streptomyces_G,LQ,GCF_000720215.1
GCF_000720235.1,Streptomyces,Streptomyces_G,LQ,GCF_000720235.1
GCF_000720255.1,Streptomyces,Streptomyces_G,LQ,GCF_000720255.1
GCF_000720295.1,Streptomyces,Streptomyces_G,LQ,GCF_000720295.1
GCF_000720325.1,Streptomyces,Streptomyces_G,LQ,GCF_000720325.1
GCF_000720395.1,Streptomyces,Streptomyces_G,MQ,GCF_000720395.1
GCF_000720405.1,Streptomyces,Streptomyces_G,MQ,GCF_000720405.1
GCF_000720455.1,Streptomyces,Streptomyces_G,LQ,GCF_000720455.1
GCF_000720475.1,Streptomyces,Streptomyces_G,LQ,GCF_000720475.1
GCF_000720485.1,Streptomyces,Streptomyces_G,LQ,GCF_000720485.1
GCF_000720505.1,Streptomyces,Streptomyces_G,LQ,GCF_000720505.1
GCF_000720565.1,Streptomyces,Streptomyces_G,LQ,GCF_000720565.1
GCF_000720595.1,Streptomyces,Streptomyces_G,LQ,GCF_000720595.1
GCF_000720605.1,Streptomyces,Streptomyces_G,LQ,GCF_000720605.1
GCF_000720635.1,Streptomyces,non-Streptomyces_G,LQ,GCF_000720635.1
GCF_000720645.1,Streptomyces,Streptomyces_G,LQ,GCF_000720645.1
GCF_000720675.1,Streptomyces,Streptomyces_G,LQ,GCF_000720675.1
GCF_000720685.1,Streptomyces,Streptomyces_G,LQ,GCF_000720685.1
GCF_000720715.1,Streptomyces,Streptomyces_G,LQ,GCF_000720715.1
GCF_000720725.1,Streptomyces,Streptomyces_G,LQ,GCF_000720725.1
GCF_000720755.1,Streptomyces,Streptomyces_G,LQ,GCF_000720755.1
GCF_000720765.1,Streptomyces,Streptomyces_G,LQ,GCF_000720765.1
GCF_000720795.1,Streptomyces,Streptomyces_G,LQ,GCF_000720795.1
GCF_000720835.1,Streptomyces,Streptomyces_G,LQ,GCF_000720835.1
GCF_000720875.1,Streptomyces,Streptomyces_G,LQ,GCF_000720875.1
GCF_000720885.1,Streptomyces,Streptomyces_G,MQ,GCF_000720885.1
GCF_000720915.1,Streptomyces,Streptomyces_G,MQ,GCF_000720915.1
GCF_000721035.1,Streptomyces,Streptomyces_G,LQ,GCF_000721035.1
GCF_000721045.1,Streptomyces,Streptomyces_G,LQ,GCF_000721045.1
GCF_000721105.1,Streptomyces,Streptomyces_G,LQ,GCF_000721105.1
GCF_000721155.1,Streptomyces,Streptomyces_G,LQ,GCF_000721155.1
GCF_000721175.1,Streptomyces,Streptomyces_G,LQ,GCF_000721175.1
GCF_000721185.1,Streptomyces,Streptomyces_G,LQ,GCF_000721185.1
GCF_000721205.1,Streptomyces,Streptomyces_G,MQ,GCF_000721205.1
GCF_000721235.1,Streptomyces,Streptomyces_G,LQ,GCF_000721235.1
GCF_000721255.1,Streptomyces,non-Streptomyces_G,LQ,GCF_000721255.1
GCF_000721265.1,Streptomyces,Streptomyces_G,LQ,GCF_000721265.1
GCF_000721305.1,Streptomyces,Streptomyces_G,LQ,GCF_000721305.1
GCF_000721335.1,Streptomyces,Streptomyces_G,LQ,GCF_000721335.1
GCF_000721345.1,non-Streptomyces,non-Streptomyces_G,LQ,GCF_000721345.1
GCF_000721365.1,Streptomyces,Streptomyces_G,LQ,GCF_000721365.1
GCF_000721415.1,Streptomyces,Streptomyces_G,LQ,GCF_000721415.1
GCF_000721435.1,Streptomyces,Streptomyces_G,LQ,GCF_000721435.1
GCF_000721445.1,Streptomyces,Streptomyces_G,LQ,GCF_000721445.1
GCF_000721455.1,Streptomyces,Streptomyces_G,LQ,GCF_000721455.1
GCF_000721495.1,Streptomyces,Streptomyces_G,LQ,GCF_000721495.1
GCF_000721515.1,Streptomyces,Streptomyces_G,LQ,GCF_000721515.1
GCF_000721525.1,Streptomyces,Streptomyces_G,LQ,GCF_000721525.1
GCF_000721535.1,Streptomyces,Streptomyces_G,LQ,GCF_000721535.1
GCF_000721575.1,Streptomyces,Streptomyces_G,MQ,GCF_000721575.1
GCF_000721595.1,Streptomyces,Streptomyces_G,MQ,GCF_000721595.1
GCF_000721605.1,Streptomyces,Streptomyces_G,LQ,GCF_000721605.1
GCF_000721665.1,Streptomyces,Streptomyces_G,LQ,GCF_000721665.1
GCF_000721685.1,Streptomyces,Streptomyces_G,MQ,GCF_000721685.1
GCF_000721715.1,Streptomyces,Streptomyces_G,LQ,GCF_000721715.1
GCF_000721935.1,Streptomyces,Streptomyces_G,LQ,GCF_000721935.1
GCF_000721945.1,Streptomyces,Streptomyces_G,LQ,GCF_000721945.1
GCF_000721955.1,Streptomyces,Streptomyces_G,LQ,GCF_000721955.1
GCF_000722015.1,Streptomyces,Streptomyces_G,MQ,GCF_000722015.1
GCF_000722185.1,Streptomyces,Streptomyces_G,LQ,GCF_000722185.1
GCF_000725125.1,Streptomyces,Streptomyces_G,MQ,GCF_000725125.1
GCF_000725465.1,Streptomyces,Streptomyces_G,LQ,GCF_000725465.1
GCF_000725475.1,Streptomyces,Streptomyces_G,LQ,GCF_000725475.1
GCF_000725495.1,Streptomyces,Streptomyces_G,LQ,GCF_000725495.1
GCF_000725545.1,Streptomyces,Streptomyces_G,LQ,GCF_000725545.1
GCF_000725555.1,Streptomyces,Streptomyces_G,LQ,GCF_000725555.1
GCF_000725565.1,Streptomyces,Streptomyces_G,LQ,GCF_000725565.1
GCF_000725575.1,Streptomyces,Streptomyces_G,LQ,GCF_000725575.1
GCF_000725625.1,Streptomyces,Streptomyces_G,LQ,GCF_000725625.1
GCF_000725635.1,Streptomyces,Streptomyces_G,LQ,GCF_000725635.1
GCF_000725645.1,Streptomyces,Streptomyces_G,LQ,GCF_000725645.1
GCF_000725655.1,Streptomyces,Streptomyces_G,LQ,GCF_000725655.1
GCF_000725705.1,Streptomyces,Streptomyces_G,MQ,GCF_000725705.1
GCF_000725715.1,Streptomyces,Streptomyces_G,LQ,GCF_000725715.1
GCF_000725725.1,Streptomyces,Streptomyces_G,LQ,GCF_000725725.1
GCF_000725745.1,Streptomyces,Streptomyces_G,LQ,GCF_000725745.1
GCF_000725785.1,Streptomyces,Streptomyces_G,LQ,GCF_000725785.1
GCF_000725795.1,Streptomyces,Streptomyces_G,MQ,GCF_000725795.1
GCF_000725805.1,Streptomyces,Streptomyces_G,LQ,GCF_000725805.1
GCF_000725885.1,Streptomyces,Streptomyces_G,LQ,GCF_000725885.1
GCF_000738695.1,Streptomyces,Streptomyces_G,MQ,GCF_000738695.1
GCF_000738715.1,Streptomyces,Streptomyces_G,MQ,GCF_000738715.1
GCF_000739045.1,Streptomyces,Streptomyces_G,MQ,GCF_000739045.1
GCF_000739105.1,Streptomyces,Streptomyces_G,HQ,GCF_000739105.1
GCF_000743295.1,Streptomyces,Streptomyces_G,MQ,GCF_000743295.1
